created_at,entry_id,field1
2019-06-08 16:30:51 UTC,320,36.00000
2019-06-08 16:31:14 UTC,321,36.00000
2019-06-08 16:31:36 UTC,322,36.00000
2019-06-08 16:31:59 UTC,323,36.00000
2019-06-08 16:32:21 UTC,324,36.00000
2019-06-08 16:32:43 UTC,325,36.00000
2019-06-08 16:33:06 UTC,326,36.00000
2019-06-08 16:33:28 UTC,327,36.00000
2019-06-08 16:33:51 UTC,328,36.00000
2019-06-08 16:34:13 UTC,329,36.00000
2019-06-08 16:34:35 UTC,330,36.00000
2019-06-08 16:34:58 UTC,331,38.00000
2019-06-08 16:35:21 UTC,332,38.00000
2019-06-08 16:35:43 UTC,333,38.00000
2019-06-08 16:36:06 UTC,334,36.00000
2019-06-08 16:36:28 UTC,335,36.00000
2019-06-08 16:36:51 UTC,336,36.00000
2019-06-08 16:37:13 UTC,337,38.00000
2019-06-08 16:37:36 UTC,338,38.00000
2019-06-08 16:37:58 UTC,339,36.00000
2019-06-08 16:38:21 UTC,340,36.00000
2019-06-08 16:38:43 UTC,341,36.00000
2019-06-08 16:39:05 UTC,342,36.00000
2019-06-08 16:39:28 UTC,343,36.00000
2019-06-08 16:39:50 UTC,344,38.00000
2019-06-08 16:40:12 UTC,345,36.00000
2019-06-08 16:40:35 UTC,346,36.00000
2019-06-08 16:40:57 UTC,347,36.00000
2019-06-08 16:41:20 UTC,348,36.00000
2019-06-08 16:41:42 UTC,349,36.00000
2019-06-08 16:42:04 UTC,350,36.00000
2019-06-08 16:42:27 UTC,351,36.00000
2019-06-08 16:42:49 UTC,352,38.00000
2019-06-08 16:43:11 UTC,353,38.00000
2019-06-08 16:43:34 UTC,354,36.00000
2019-06-08 16:43:56 UTC,355,36.00000
2019-06-08 16:44:19 UTC,356,36.00000
2019-06-08 16:44:41 UTC,357,36.00000
2019-06-08 16:45:03 UTC,358,36.00000
2019-06-08 16:45:26 UTC,359,36.00000
2019-06-08 16:45:48 UTC,360,36.00000
2019-06-08 16:46:11 UTC,361,37.00000
2019-06-08 16:46:33 UTC,362,37.00000
2019-06-08 16:46:56 UTC,363,38.00000
2019-06-08 16:47:18 UTC,364,38.00000
2019-06-08 16:47:40 UTC,365,37.00000
2019-06-08 16:48:03 UTC,366,38.00000
2019-06-08 16:48:26 UTC,367,37.00000
2019-06-08 16:48:49 UTC,368,37.00000
2019-06-08 16:49:11 UTC,369,37.00000
2019-06-08 16:49:33 UTC,370,37.00000
2019-06-08 16:49:55 UTC,371,37.00000
2019-06-08 16:50:18 UTC,372,37.00000
2019-06-08 16:50:40 UTC,373,37.00000
2019-06-08 16:51:02 UTC,374,37.00000
2019-06-08 16:51:25 UTC,375,37.00000
2019-06-08 16:51:47 UTC,376,37.00000
2019-06-08 16:52:10 UTC,377,37.00000
2019-06-08 16:52:32 UTC,378,37.00000
2019-06-08 16:52:54 UTC,379,37.00000
2019-06-08 16:53:17 UTC,380,37.00000
2019-06-08 16:53:40 UTC,381,37.00000
2019-06-08 16:54:02 UTC,382,37.00000
2019-06-08 16:54:25 UTC,383,37.00000
2019-06-08 16:54:47 UTC,384,37.00000
2019-06-08 16:55:09 UTC,385,39.00000
2019-06-08 16:55:32 UTC,386,39.00000
2019-06-08 16:55:54 UTC,387,39.00000
2019-06-08 16:56:16 UTC,388,37.00000
2019-06-08 16:56:39 UTC,389,37.00000
2019-06-08 16:57:01 UTC,390,37.00000
2019-06-08 16:57:24 UTC,391,37.00000
2019-06-08 16:57:46 UTC,392,37.00000
2019-06-08 16:58:09 UTC,393,37.00000
2019-06-08 16:58:31 UTC,394,37.00000
2019-06-08 16:58:54 UTC,395,37.00000
2019-06-08 16:59:16 UTC,396,37.00000
2019-06-08 16:59:38 UTC,397,37.00000
2019-06-08 17:00:01 UTC,398,37.00000
2019-06-08 17:00:24 UTC,399,37.00000
2019-06-08 17:00:46 UTC,400,37.00000
2019-06-08 17:01:09 UTC,401,37.00000
2019-06-08 17:01:31 UTC,402,37.00000
2019-06-08 17:01:54 UTC,403,37.00000
2019-06-08 17:02:17 UTC,404,37.00000
2019-06-08 17:02:39 UTC,405,37.00000
2019-06-08 17:03:01 UTC,406,37.00000
2019-06-08 17:03:24 UTC,407,37.00000
2019-06-08 17:03:46 UTC,408,37.00000
2019-06-08 17:04:09 UTC,409,39.00000
2019-06-08 17:04:31 UTC,410,37.00000
2019-06-08 17:04:54 UTC,411,37.00000
2019-06-08 17:05:16 UTC,412,37.00000
2019-06-08 17:05:39 UTC,413,37.00000
2019-06-08 17:06:01 UTC,414,37.00000
2019-06-08 17:06:23 UTC,415,37.00000
2019-06-08 17:06:45 UTC,416,37.00000
2019-06-08 17:07:08 UTC,417,37.00000
2019-06-08 17:07:30 UTC,418,39.00000
2019-06-08 17:07:53 UTC,419,37.00000
